label	files	group
1	712_untr	712_untr_counts.txt	UNTR
2	739_TNFa	739_TNFa_counts.txt	TNFa
3	665_untr	665_untr_counts.txt	UNTR
4	645_TNFa	645_TNFa_counts.txt	TNFa
5	743_TNFa	743_TNFa_counts.txt	TNFa
6	728_TNFa	728_TNFa_counts.txt	TNFa
7	701_TNFa	701_TNFa_counts.txt	TNFa
8	730_untr	730_untr_counts.txt	UNTR
9	667_TNFa	667_TNFa_counts.txt	TNFa
10	721_untr	721_untr_counts.txt	UNTR
11	727_untr	727_untr_counts.txt	UNTR
12	756_untr	756_untr_counts.txt	UNTR
13	736_untr	736_untr_counts.txt	UNTR
14	707_TNFa	707_TNFa_counts.txt	TNFa
15	672_untr	672_untr_counts.txt	UNTR
16	745_TNFa	745_TNFa_counts.txt	TNFa
17	668_untr	668_untr_counts.txt	UNTR
18	734_TNFa	734_TNFa_counts.txt	TNFa
19	725_TNFa	725_TNFa_counts.txt	TNFa
20	742_TNFa	742_TNFa_counts.txt	TNFa
21	702_untr	702_untr_counts.txt	UNTR
22	729_TNFa	729_TNFa_counts.txt	TNFa
23	718_untr	718_untr_counts.txt	UNTR
24	644_TNFa	644_TNFa_counts.txt	TNFa
25	758_TNFa	758_TNFa_counts.txt	TNFa
26	753_TNFa	753_TNFa_counts.txt	TNFa
27	738_TNFa	738_TNFa_counts.txt	TNFa
28	709_untr	709_untr_counts.txt	UNTR
29	657_untr	657_untr_counts.txt	UNTR
30	711_TNFa	711_TNFa_counts.txt	TNFa
31	700_TNFa	700_TNFa_counts.txt	TNFa
32	740_untr	740_untr_counts.txt	UNTR
33	746_untr	746_untr_counts.txt	UNTR
34	706_TNFa	706_TNFa_counts.txt	TNFa
35	671_TNFa	671_TNFa_counts.txt	TNFa
36	737_untr	737_untr_counts.txt	UNTR
37	757_untr	757_untr_counts.txt	UNTR
38	717_TNFa	717_TNFa_counts.txt	TNFa
39	660_TNFa	660_TNFa_counts.txt	TNFa
40	726_untr	726_untr_counts.txt	UNTR
41	689_TNFa	689_TNFa_counts.txt	TNFa
42	638_TNFa	638_TNFa_counts.txt	TNFa
43	653_TNFa	653_TNFa_counts.txt	TNFa
44	678_untr	678_untr_counts.txt	UNTR
45	724_TNFa	724_TNFa_counts.txt	TNFa
46	755_TNFa	755_TNFa_counts.txt	TNFa
47	669_untr	669_untr_counts.txt	UNTR
48	642_TNFa	642_TNFa_counts.txt	TNFa
49	735_TNFa	735_TNFa_counts.txt	TNFa
50	744_TNFa	744_TNFa_counts.txt	TNFa
51	665_TNFa	665_TNFa_counts.txt	TNFa
52	712_TNFa	712_TNFa_counts.txt	TNFa
53	739_untr	739_untr_counts.txt	UNTR
54	743_untr	743_untr_counts.txt	UNTR
55	728_untr	728_untr_counts.txt	UNTR
56	645_untr	645_untr_counts.txt	UNTR
57	730_TNFa	730_TNFa_counts.txt	TNFa
58	701_untr	701_untr_counts.txt	UNTR
59	721_TNFa	721_TNFa_counts.txt	TNFa
60	667_untr	667_untr_counts.txt	UNTR
61	756_TNFa	756_TNFa_counts.txt	TNFa
62	727_TNFa	727_TNFa_counts.txt	TNFa
63	707_untr	707_untr_counts.txt	UNTR
64	736_TNFa	736_TNFa_counts.txt	TNFa
65	734_untr	734_untr_counts.txt	UNTR
66	668_TNFa	668_TNFa_counts.txt	TNFa
67	672_TNFa	672_TNFa_counts.txt	TNFa
68	745_untr	745_untr_counts.txt	UNTR
69	725_untr	725_untr_counts.txt	UNTR
70	644_untr	644_untr_counts.txt	UNTR
71	718_TNFa	718_TNFa_counts.txt	TNFa
72	758_untr	758_untr_counts.txt	UNTR
73	742_untr	742_untr_counts.txt	UNTR
74	702_TNFa	702_TNFa_counts.txt	TNFa
75	729_untr	729_untr_counts.txt	UNTR
76	709_TNFa	709_TNFa_counts.txt	TNFa
77	753_untr	753_untr_counts.txt	UNTR
78	738_untr	738_untr_counts.txt	UNTR
79	711_untr	711_untr_counts.txt	UNTR
80	657_TNFa	657_TNFa_counts.txt	TNFa
81	700_untr	700_untr_counts.txt	UNTR
82	740_TNFa	740_TNFa_counts.txt	TNFa
83	737_TNFa	737_TNFa_counts.txt	TNFa
84	746_TNFa	746_TNFa_counts.txt	TNFa
85	671_untr	671_untr_counts.txt	UNTR
86	706_untr	706_untr_counts.txt	UNTR
87	726_TNFa	726_TNFa_counts.txt	TNFa
88	689_untr	689_untr_counts.txt	UNTR
89	757_TNFa	757_TNFa_counts.txt	TNFa
90	660_untr	660_untr_counts.txt	UNTR
91	717_untr	717_untr_counts.txt	UNTR
92	755_untr	755_untr_counts.txt	UNTR
93	638_untr	638_untr_counts.txt	UNTR
94	724_untr	724_untr_counts.txt	UNTR
95	653_untr	653_untr_counts.txt	UNTR
96	678_TNFa	678_TNFa_counts.txt	TNFa
97	744_untr	744_untr_counts.txt	UNTR
98	735_untr	735_untr_counts.txt	UNTR
99	669_TNFa	669_TNFa_counts.txt	TNFa
100	642_untr	642_untr_counts.txt	UNTR
